Date,Product,Category,Price,Quantity,Sales,Country,Region,Payment_Method
2023-03-28,Laptop,Electronics,1076,8,8608,Italy,North,Cash
2023-02-11,Phone,Electronics,1484,10,14840,Morocco,South,Online
2023-11-26,Laptop,Electronics,751,10,7510,Morocco,West,Online
2023-11-08,Tablet,Electronics,993,3,2979,France,South,Cash
2023-11-28,Table,Furniture,1215,9,10935,Spain,East,Online
2023-09-02,Pen,Stationery,178,4,712,Morocco,South,Card
2023-05-03,Keyboard,Electronics,732,1,732,Spain,South,Cash
2023-05-29,Keyboard,Electronics,715,8,5720,Germany,West,Cash
2023-03-26,Laptop,Electronics,488,3,1464,Italy,East,Cash
2023-03-11,Table,Furniture,1152,7,8064,Italy,South,Online
2023-01-12,Pen,Stationery,565,7,3955,Italy,North,Online
2023-04-12,Laptop,Electronics,770,6,4620,Morocco,South,Cash
2023-01-18,Monitor,Electronics,1797,7,12579,France,East,Cash
2023-01-04,Pen,Stationery,1028,2,2056,Italy,West,Cash
2023-05-27,Pen,Stationery,105,4,420,Germany,East,Online
2023-05-01,Chair,Furniture,1243,1,1243,Italy,East,Cash
2023-08-06,Laptop,Electronics,946,3,2838,Morocco,South,Online
2023-02-05,Headphones,Electronics,1841,1,1841,Spain,East,Online
2023-11-05,Monitor,Electronics,190,2,380,Morocco,North,Cash
2023-11-09,Table,Furniture,1948,3,5844,France,South,Online
2023-08-02,Notebook,Stationery,414,7,2898,France,East,Cash
2023-05-17,Monitor,Electronics,902,3,2706,Italy,North,Online
2023-05-08,Notebook,Stationery,1742,4,6968,Morocco,West,Online
2023-10-18,Chair,Furniture,1879,9,16911,Germany,West,Online
2023-07-19,Notebook,Stationery,1504,2,3008,France,West,Card
2023-09-01,Headphones,Electronics,1242,6,7452,Spain,South,Online
2023-08-18,Phone,Electronics,1197,6,7182,Italy,North,Cash
2023-05-02,Laptop,Electronics,1631,6,9786,Spain,South,Card
2023-04-19,Laptop,Electronics,35,4,140,Italy,North,Cash
2023-12-27,Phone,Electronics,1647,5,8235,Spain,West,Cash
2023-11-21,Headphones,Electronics,727,1,727,Morocco,West,Online
2023-03-18,Keyboard,Electronics,1197,5,5985,Italy,East,Cash
2023-02-18,Laptop,Electronics,679,6,4074,Spain,South,Online
2023-10-07,Headphones,Electronics,91,10,910,Germany,East,Cash
2023-07-18,Table,Furniture,273,4,1092,Germany,South,Online
2023-03-30,Table,Furniture,294,8,2352,Morocco,West,Cash
2023-03-01,Pen,Stationery,1782,10,17820,Morocco,West,Card
2023-01-30,Chair,Furniture,826,4,3304,Germany,East,Cash
2023-05-12,Monitor,Electronics,1664,9,14976,Italy,East,Online
2023-03-09,Chair,Furniture,361,10,3610,Germany,East,Cash
2023-12-10,Laptop,Electronics,473,9,4257,Spain,West,Cash
2023-05-20,Laptop,Electronics,1510,8,12080,Spain,East,Cash
2023-11-22,Monitor,Electronics,1386,2,2772,Germany,North,Online
2023-01-19,Chair,Furniture,995,1,995,Germany,East,Online
2023-03-31,Chair,Furniture,1797,4,7188,Germany,North,Online
2023-08-28,Phone,Electronics,470,3,1410,Spain,West,Cash
2023-05-08,Pen,Stationery,1406,2,2812,Italy,South,Card
2023-09-11,Keyboard,Electronics,1897,8,15176,France,West,Card
2023-11-30,Monitor,Electronics,452,7,3164,Morocco,East,Card
2023-02-21,Monitor,Electronics,1684,1,1684,Italy,North,Online
2023-07-19,Laptop,Electronics,1558,7,10906,Italy,East,Online
2023-12-19,Keyboard,Electronics,1439,1,1439,Germany,North,Cash
2023-10-01,Table,Furniture,1133,8,9064,Italy,North,Cash
2023-02-02,Pen,Stationery,1773,4,7092,Morocco,North,Online
2023-01-23,Table,Furniture,1528,3,4584,Spain,North,Online
2023-08-24,Keyboard,Electronics,528,10,5280,France,South,Online
2023-12-14,Table,Furniture,33,7,231,France,East,Cash
2023-11-27,Pen,Stationery,912,10,9120,Morocco,North,Cash
2023-08-18,Chair,Furniture,1286,3,3858,Morocco,South,Online
2023-01-26,Headphones,Electronics,1930,5,9650,Italy,North,Online
2023-01-29,Laptop,Electronics,1469,10,14690,Germany,East,Cash
2023-10-26,Keyboard,Electronics,1407,2,2814,Morocco,West,Card
2023-12-17,Tablet,Electronics,1799,3,5397,Italy,North,Online
2023-09-03,Keyboard,Electronics,1600,10,16000,Italy,North,Cash
2023-03-21,Table,Furniture,893,8,7144,Morocco,East,Card
2023-05-19,Table,Furniture,470,3,1410,Italy,South,Card
2023-05-15,Table,Furniture,616,2,1232,Morocco,East,Cash
2023-04-15,Notebook,Stationery,354,2,708,Italy,West,Cash
2023-08-26,Tablet,Electronics,742,7,5194,Germany,North,Card
2023-08-09,Monitor,Electronics,1327,9,11943,Germany,South,Online
2023-03-31,Pen,Stationery,1551,1,1551,Morocco,South,Card
2023-12-20,Chair,Furniture,215,5,1075,Germany,East,Card
2023-04-15,Keyboard,Electronics,1857,10,18570,Spain,South,Online
2023-07-14,Phone,Electronics,778,10,7780,France,South,Card
2023-06-30,Tablet,Electronics,949,2,1898,Spain,South,Cash
2023-08-06,Headphones,Electronics,561,5,2805,France,East,Online
2023-03-26,Pen,Stationery,958,1,958,Morocco,South,Cash
2023-02-17,Monitor,Electronics,553,7,3871,Spain,East,Card
2023-04-18,Table,Furniture,1994,10,19940,France,East,Online
2023-01-07,Notebook,Stationery,790,8,6320,Spain,West,Cash
2023-07-03,Keyboard,Electronics,206,9,1854,Germany,North,Card
2023-10-02,Pen,Stationery,105,9,945,Italy,North,Card
2023-02-10,Pen,Stationery,726,9,6534,Spain,West,Card
2023-01-07,Monitor,Electronics,1843,9,16587,Italy,West,Cash
2023-04-26,Notebook,Stationery,750,1,750,Italy,West,Cash
2023-02-01,Pen,Stationery,1224,2,2448,Germany,East,Card
2023-02-15,Pen,Stationery,304,4,1216,Morocco,East,Card
2023-03-02,Monitor,Electronics,1026,2,2052,Germany,South,Card
2023-07-04,Laptop,Electronics,1279,8,10232,Italy,East,Card
2023-08-04,Keyboard,Electronics,926,8,7408,Italy,West,Online
2023-07-23,Keyboard,Electronics,381,7,2667,Germany,East,Cash
2023-02-15,Table,Furniture,261,7,1827,Spain,North,Card
2023-02-21,Phone,Electronics,1301,6,7806,Spain,North,Online
2023-05-07,Notebook,Stationery,1347,2,2694,Italy,West,Cash
2023-08-02,Chair,Furniture,1141,8,9128,Germany,West,Online
2023-01-02,Phone,Electronics,475,5,2375,Italy,North,Cash
2023-05-05,Monitor,Electronics,1145,8,9160,Germany,North,Online
2023-06-01,Keyboard,Electronics,97,8,776,Italy,East,Card
2023-12-10,Tablet,Electronics,1284,9,11556,Germany,East,Card
2023-05-27,Notebook,Stationery,1986,4,7944,Italy,East,Cash
2023-01-30,Laptop,Electronics,513,10,5130,Germany,West,Cash
2023-09-12,Phone,Electronics,220,6,1320,Morocco,East,Online
2023-12-01,Laptop,Electronics,602,4,2408,France,West,Cash
2023-10-06,Headphones,Electronics,1111,6,6666,Morocco,East,Online
2023-04-29,Laptop,Electronics,168,4,672,Italy,North,Cash
2023-01-03,Table,Furniture,1522,1,1522,France,North,Online
2023-08-24,Tablet,Electronics,320,8,2560,Spain,North,Card
2023-03-22,Phone,Electronics,323,6,1938,Spain,North,Cash
2023-08-15,Tablet,Electronics,929,1,929,Germany,East,Online
2023-10-27,Monitor,Electronics,1487,9,13383,Spain,South,Online
2023-06-12,Phone,Electronics,1635,2,3270,Morocco,East,Cash
2023-12-05,Tablet,Electronics,353,1,353,Italy,North,Online
2023-07-04,Laptop,Electronics,1163,7,8141,Morocco,West,Online
2023-07-15,Table,Furniture,1667,10,16670,Spain,South,Online
2023-06-04,Monitor,Electronics,1217,6,7302,France,North,Card
2023-12-13,Notebook,Stationery,765,7,5355,Italy,East,Cash
2023-02-16,Chair,Furniture,1557,9,14013,Italy,West,Card
2023-09-13,Tablet,Electronics,908,9,8172,France,South,Online
2023-06-14,Monitor,Electronics,346,6,2076,Italy,South,Online
2023-01-29,Monitor,Electronics,1239,10,12390,Germany,East,Online
2023-12-23,Tablet,Electronics,1185,2,2370,France,North,Card
2023-03-02,Headphones,Electronics,872,9,7848,France,East,Cash
2023-08-22,Chair,Furniture,266,5,1330,Italy,South,Online
2023-12-18,Keyboard,Electronics,1558,2,3116,Germany,North,Cash
2023-06-07,Phone,Electronics,154,7,1078,Germany,South,Card
2023-02-26,Laptop,Electronics,1741,10,17410,Italy,East,Online
2023-01-15,Headphones,Electronics,1845,10,18450,Morocco,North,Online
2023-08-14,Monitor,Electronics,1292,7,9044,Germany,East,Cash
2023-12-31,Monitor,Electronics,985,4,3940,Morocco,North,Card
2023-02-22,Pen,Stationery,840,2,1680,Morocco,West,Card
2023-02-28,Laptop,Electronics,854,9,7686,Spain,North,Card
2023-02-12,Notebook,Stationery,87,4,348,Spain,East,Online
2023-09-15,Notebook,Stationery,431,2,862,France,South,Cash
2023-06-03,Notebook,Stationery,466,2,932,Morocco,South,Online
2023-10-13,Notebook,Stationery,252,10,2520,Germany,East,Online
2023-01-01,Chair,Furniture,1782,3,5346,Spain,East,Card
2023-07-22,Phone,Electronics,967,7,6769,Spain,West,Online
2023-02-11,Chair,Furniture,1331,7,9317,Germany,South,Online
2023-02-16,Phone,Electronics,840,3,2520,Morocco,East,Cash
2023-04-27,Headphones,Electronics,585,8,4680,Morocco,West,Online
2023-04-03,Notebook,Stationery,1240,10,12400,Germany,South,Cash
2023-04-27,Chair,Furniture,494,1,494,Spain,East,Online
2023-08-07,Monitor,Electronics,493,2,986,France,West,Cash
2023-10-23,Laptop,Electronics,801,2,1602,Morocco,East,Cash
2023-10-27,Keyboard,Electronics,1635,7,11445,Morocco,East,Cash
2023-06-02,Headphones,Electronics,478,7,3346,Germany,South,Online
2023-11-22,Monitor,Electronics,745,6,4470,Germany,North,Online
2023-11-07,Headphones,Electronics,1329,2,2658,France,West,Cash
2023-06-15,Pen,Stationery,1484,6,8904,Spain,South,Card
2023-04-04,Laptop,Electronics,766,8,6128,Morocco,East,Card
2023-05-11,Chair,Furniture,569,1,569,France,East,Cash
2023-12-22,Laptop,Electronics,767,5,3835,Spain,West,Online
2023-06-30,Laptop,Electronics,354,10,3540,France,South,Online
2023-02-11,Tablet,Electronics,1849,3,5547,Morocco,East,Online
2023-12-05,Monitor,Electronics,1399,7,9793,Morocco,West,Online
2023-06-04,Table,Furniture,1110,2,2220,France,West,Cash
2023-05-20,Table,Furniture,1698,8,13584,France,West,Card
2023-06-17,Table,Furniture,1243,8,9944,France,South,Cash
2023-08-20,Keyboard,Electronics,766,4,3064,Spain,West,Online
2023-03-01,Table,Furniture,1574,8,12592,France,West,Online
2023-02-18,Phone,Electronics,1697,3,5091,Italy,South,Online
2023-10-21,Table,Furniture,1778,8,14224,Italy,South,Card
2023-06-24,Notebook,Stationery,1880,10,18800,France,North,Cash
2023-01-21,Phone,Electronics,617,4,2468,Italy,North,Card
2023-03-26,Headphones,Electronics,1696,5,8480,Morocco,West,Cash
2023-06-29,Laptop,Electronics,1535,4,6140,Spain,East,Online
2023-08-31,Pen,Stationery,1606,7,11242,Italy,South,Card
2023-02-13,Headphones,Electronics,1767,8,14136,Spain,West,Card
2023-09-27,Keyboard,Electronics,549,8,4392,Germany,East,Card
2023-06-29,Chair,Furniture,1767,10,17670,Spain,West,Cash
2023-05-03,Table,Furniture,841,7,5887,Spain,South,Card
2023-10-04,Headphones,Electronics,147,10,1470,Germany,South,Cash
2023-05-27,Table,Furniture,65,6,390,Morocco,South,Online
2023-11-17,Headphones,Electronics,1903,10,19030,Germany,South,Cash
2023-03-22,Monitor,Electronics,454,6,2724,Italy,East,Cash
2023-07-24,Table,Furniture,1081,7,7567,Germany,West,Card
2023-09-21,Tablet,Electronics,1653,1,1653,Italy,South,Cash
2023-07-16,Chair,Furniture,575,6,3450,Morocco,North,Online
2023-04-03,Monitor,Electronics,1085,10,10850,Germany,South,Card
2023-03-10,Table,Furniture,127,1,127,France,North,Online
2023-09-28,Laptop,Electronics,118,2,236,Morocco,South,Online
2023-11-17,Pen,Stationery,1985,9,17865,Spain,West,Online
2023-10-23,Table,Furniture,1953,6,11718,Spain,East,Card
2023-03-21,Notebook,Stationery,1634,8,13072,Germany,South,Online
2023-04-20,Laptop,Electronics,471,7,3297,France,West,Online
2023-04-17,Chair,Furniture,1068,6,6408,Spain,East,Cash
2023-01-01,Laptop,Electronics,1231,6,7386,Morocco,West,Card
2023-03-30,Notebook,Stationery,1388,5,6940,Spain,North,Cash
2023-04-28,Phone,Electronics,416,7,2912,Spain,South,Card
2023-01-02,Notebook,Stationery,1726,6,10356,Italy,East,Card
2023-05-01,Pen,Stationery,1591,9,14319,Germany,South,Cash
2023-08-11,Headphones,Electronics,1202,4,4808,Spain,West,Card
2023-03-18,Keyboard,Electronics,749,4,2996,Italy,North,Online
2023-03-26,Chair,Furniture,957,3,2871,Italy,North,Cash
2023-10-18,Tablet,Electronics,871,2,1742,Spain,North,Cash
2023-12-22,Pen,Stationery,1166,8,9328,Italy,North,Online
2023-08-23,Monitor,Electronics,1974,3,5922,Morocco,North,Card
2023-06-03,Table,Furniture,508,1,508,France,North,Online
2023-12-15,Pen,Stationery,1879,10,18790,Morocco,West,Card
2023-11-15,Tablet,Electronics,1122,1,1122,Italy,North,Cash
2023-06-01,Tablet,Electronics,1504,4,6016,France,South,Card
2023-02-22,Notebook,Stationery,1540,4,6160,Italy,South,Online
2023-10-11,Phone,Electronics,209,3,627,Morocco,South,Cash
2023-10-11,Table,Furniture,623,3,1869,Italy,West,Card
2023-04-18,Keyboard,Electronics,1413,1,1413,Italy,South,Card
2023-02-12,Phone,Electronics,1367,1,1367,Germany,West,Online
2023-12-09,Tablet,Electronics,1162,7,8134,Germany,South,Card
2023-08-13,Keyboard,Electronics,351,4,1404,Morocco,North,Online
2023-05-15,Table,Furniture,1703,10,17030,Germany,East,Online
2023-03-13,Laptop,Electronics,1646,6,9876,Germany,East,Online
2023-06-08,Keyboard,Electronics,1332,6,7992,Germany,East,Online
2023-02-13,Chair,Furniture,1972,7,13804,France,West,Cash
2023-01-05,Headphones,Electronics,1180,7,8260,France,North,Online
2023-09-04,Laptop,Electronics,1923,10,19230,France,East,Cash
2023-05-18,Headphones,Electronics,411,4,1644,Morocco,East,Card
2023-10-02,Monitor,Electronics,176,8,1408,Italy,East,Cash
2023-01-20,Chair,Furniture,881,7,6167,Spain,North,Online
2023-03-02,Phone,Electronics,1094,5,5470,France,West,Cash
2023-05-14,Headphones,Electronics,1662,1,1662,Spain,East,Online
2023-12-06,Table,Furniture,241,8,1928,Germany,West,Online
2023-08-09,Pen,Stationery,93,5,465,Germany,South,Card
2023-11-09,Chair,Furniture,722,8,5776,Morocco,East,Card
2023-07-27,Phone,Electronics,1496,10,14960,Morocco,West,Card
2023-12-20,Notebook,Stationery,419,3,1257,Germany,West,Online
2023-04-21,Laptop,Electronics,758,7,5306,Spain,West,Online
2023-11-05,Monitor,Electronics,1655,5,8275,Spain,West,Card
2023-11-10,Laptop,Electronics,952,1,952,Morocco,West,Online
2023-12-21,Table,Furniture,163,3,489,Morocco,South,Cash
2023-01-25,Headphones,Electronics,493,1,493,Germany,South,Card
2023-08-08,Headphones,Electronics,146,7,1022,France,East,Cash
2023-06-23,Notebook,Stationery,915,2,1830,France,East,Cash
2023-08-18,Chair,Furniture,982,3,2946,Italy,East,Cash
2023-10-30,Pen,Stationery,1344,1,1344,France,North,Card
2023-05-01,Monitor,Electronics,1279,2,2558,Morocco,South,Online
2023-03-18,Monitor,Electronics,1998,10,19980,Germany,East,Card
2023-05-01,Monitor,Electronics,606,7,4242,Italy,West,Online
2023-10-06,Chair,Furniture,333,10,3330,Morocco,North,Card
2023-10-28,Headphones,Electronics,1826,1,1826,France,West,Online
2023-04-20,Tablet,Electronics,276,7,1932,Italy,North,Cash
2023-11-16,Tablet,Electronics,1991,10,19910,France,South,Online
2023-03-07,Pen,Stationery,947,5,4735,France,West,Cash
2023-01-10,Phone,Electronics,551,3,1653,Morocco,West,Online
2023-10-17,Monitor,Electronics,172,1,172,Spain,South,Online
2023-02-21,Laptop,Electronics,567,3,1701,France,East,Online
2023-07-28,Notebook,Stationery,1324,4,5296,France,South,Card
2023-04-17,Headphones,Electronics,297,7,2079,Morocco,West,Cash
2023-07-11,Pen,Stationery,1683,1,1683,France,East,Online
2023-07-12,Monitor,Electronics,1382,9,12438,Italy,West,Card
2023-08-21,Tablet,Electronics,1614,10,16140,Italy,West,Online
2023-08-29,Notebook,Stationery,1476,6,8856,Italy,West,Cash
2023-10-26,Table,Furniture,539,5,2695,Italy,South,Cash
2023-10-03,Phone,Electronics,1007,6,6042,Germany,South,Online
2023-08-12,Pen,Stationery,1619,4,6476,Morocco,South,Cash
2023-05-08,Pen,Stationery,1500,8,12000,France,North,Cash
2023-02-24,Pen,Stationery,1337,1,1337,Spain,South,Cash
2023-07-09,Phone,Electronics,1306,8,10448,Italy,West,Online
2023-05-09,Table,Furniture,1322,3,3966,Morocco,West,Card
2023-11-15,Pen,Stationery,1291,4,5164,Morocco,East,Card
2023-12-31,Pen,Stationery,1354,9,12186,Italy,South,Cash
2023-03-20,Chair,Furniture,734,7,5138,Spain,North,Cash
2023-02-13,Keyboard,Electronics,322,4,1288,Spain,West,Card
2023-12-13,Table,Furniture,1036,4,4144,Germany,North,Online
2023-11-20,Laptop,Electronics,1396,8,11168,Spain,East,Cash
2023-02-06,Monitor,Electronics,1279,4,5116,Germany,East,Online
2023-03-12,Tablet,Electronics,868,9,7812,Italy,South,Card
2023-12-15,Keyboard,Electronics,1753,5,8765,Morocco,North,Cash
2023-12-21,Notebook,Stationery,950,2,1900,France,East,Card
2023-05-08,Chair,Furniture,312,3,936,Italy,North,Card
2023-06-29,Headphones,Electronics,1806,5,9030,Spain,South,Cash
2023-05-17,Monitor,Electronics,711,10,7110,Germany,North,Card
2023-10-07,Headphones,Electronics,1771,7,12397,Germany,West,Cash
2023-09-02,Notebook,Stationery,261,8,2088,Morocco,East,Cash
2023-10-06,Headphones,Electronics,483,7,3381,Spain,East,Online
2023-09-29,Chair,Furniture,1151,8,9208,Morocco,South,Online
2023-06-04,Phone,Electronics,1527,2,3054,France,East,Cash
2023-01-09,Phone,Electronics,943,8,7544,France,West,Card
2023-10-15,Headphones,Electronics,409,1,409,Morocco,West,Cash
2023-11-10,Laptop,Electronics,752,2,1504,Spain,South,Cash
2023-09-25,Phone,Electronics,847,10,8470,Germany,East,Online
2023-04-20,Pen,Stationery,1823,10,18230,Germany,North,Cash
2023-12-04,Table,Furniture,1234,3,3702,France,East,Card
2023-11-26,Phone,Electronics,482,10,4820,Spain,North,Online
2023-08-26,Table,Furniture,768,10,7680,Morocco,North,Online
2023-02-06,Table,Furniture,1335,5,6675,Spain,South,Card
2023-03-14,Pen,Stationery,1104,1,1104,Germany,East,Online
2023-04-16,Notebook,Stationery,566,1,566,Spain,North,Card
2023-11-10,Table,Furniture,1317,5,6585,Spain,West,Online
2023-10-07,Phone,Electronics,172,4,688,Spain,West,Cash
2023-03-18,Headphones,Electronics,628,5,3140,Morocco,North,Online
2023-12-14,Laptop,Electronics,584,8,4672,Germany,East,Online
2023-08-13,Pen,Stationery,1886,3,5658,Italy,South,Online
2023-03-27,Keyboard,Electronics,115,2,230,Spain,West,Online
2023-08-22,Laptop,Electronics,1185,5,5925,Morocco,East,Card
2023-06-27,Headphones,Electronics,1103,8,8824,Italy,North,Cash
2023-09-15,Headphones,Electronics,1531,2,3062,Germany,West,Card
2023-06-27,Laptop,Electronics,1064,2,2128,Spain,East,Online
2023-08-17,Phone,Electronics,1545,5,7725,Spain,South,Card
2023-06-19,Pen,Stationery,408,7,2856,Morocco,West,Card
2023-08-19,Headphones,Electronics,1249,9,11241,France,East,Online
2023-02-13,Headphones,Electronics,1549,3,4647,Italy,East,Card
2023-12-14,Chair,Furniture,1545,10,15450,Germany,South,Cash
2023-08-24,Phone,Electronics,34,7,238,Spain,South,Card
2023-04-24,Notebook,Stationery,1328,6,7968,Morocco,East,Online
2023-08-22,Table,Furniture,1631,10,16310,Italy,South,Online
2023-08-11,Pen,Stationery,720,4,2880,Morocco,West,Online
2023-12-09,Notebook,Stationery,1803,10,18030,Morocco,East,Cash
2023-03-06,Monitor,Electronics,703,1,703,Germany,South,Online
2023-11-08,Notebook,Stationery,775,8,6200,France,West,Card
2023-08-08,Laptop,Electronics,444,1,444,Morocco,East,Cash
2023-01-26,Chair,Furniture,41,6,246,Morocco,North,Card
2023-07-31,Headphones,Electronics,118,5,590,Morocco,West,Card
2023-09-28,Table,Furniture,1165,1,1165,Germany,North,Card
2023-01-15,Pen,Stationery,104,4,416,Spain,North,Online
2023-03-22,Monitor,Electronics,664,7,4648,Italy,West,Card
2023-03-06,Tablet,Electronics,819,5,4095,France,South,Cash
2023-10-26,Monitor,Electronics,157,2,314,France,South,Online
2023-09-17,Headphones,Electronics,223,5,1115,Germany,West,Online
2023-03-07,Phone,Electronics,251,8,2008,Morocco,South,Online
2023-04-11,Monitor,Electronics,661,9,5949,Spain,East,Online
2023-07-25,Phone,Electronics,1258,2,2516,Morocco,South,Online
2023-06-03,Keyboard,Electronics,1915,5,9575,Spain,North,Card
2023-02-09,Chair,Furniture,408,3,1224,Germany,West,Card
2023-07-20,Phone,Electronics,992,2,1984,Spain,West,Online
2023-05-08,Tablet,Electronics,1806,6,10836,Spain,East,Cash
2023-12-01,Tablet,Electronics,1416,4,5664,Germany,South,Online
2023-07-11,Tablet,Electronics,764,2,1528,Spain,East,Online
2023-10-31,Keyboard,Electronics,1613,1,1613,Germany,South,Cash
2023-04-22,Keyboard,Electronics,879,5,4395,Spain,South,Online
2023-01-15,Chair,Furniture,628,8,5024,Spain,North,Card
2023-06-17,Keyboard,Electronics,61,1,61,France,South,Cash
2023-03-17,Table,Furniture,1232,10,12320,Italy,West,Cash
2023-10-13,Tablet,Electronics,215,1,215,Germany,South,Online
2023-09-07,Chair,Furniture,1387,2,2774,Italy,North,Cash
2023-12-11,Pen,Stationery,1734,6,10404,Germany,North,Cash
2023-01-05,Pen,Stationery,1396,7,9772,Spain,East,Card
2023-05-13,Monitor,Electronics,1921,5,9605,France,South,Card
2023-06-09,Notebook,Stationery,476,2,952,Italy,West,Card
2023-08-29,Laptop,Electronics,986,7,6902,Morocco,West,Cash
2023-10-22,Notebook,Stationery,1245,10,12450,Germany,East,Cash
2023-01-07,Laptop,Electronics,44,4,176,Italy,South,Cash
2023-09-04,Tablet,Electronics,408,1,408,Morocco,North,Card
2023-12-28,Pen,Stationery,344,7,2408,France,North,Card
2023-04-02,Pen,Stationery,1265,1,1265,Italy,West,Cash
2023-01-25,Monitor,Electronics,1522,2,3044,Germany,East,Cash
2023-04-12,Laptop,Electronics,1933,2,3866,France,East,Card
2023-08-21,Headphones,Electronics,458,3,1374,France,East,Cash
2023-03-19,Headphones,Electronics,1654,1,1654,Spain,East,Online
2023-05-18,Monitor,Electronics,216,1,216,Spain,East,Online
2023-07-26,Pen,Stationery,1583,10,15830,Morocco,South,Cash
2023-05-06,Table,Furniture,753,7,5271,Italy,East,Online
2023-06-02,Pen,Stationery,389,4,1556,France,East,Cash
2023-06-28,Laptop,Electronics,1750,9,15750,Italy,South,Cash
2023-03-12,Chair,Furniture,297,1,297,Morocco,East,Card
2023-08-27,Monitor,Electronics,1105,4,4420,Italy,East,Online
2023-10-26,Laptop,Electronics,1744,10,17440,Italy,East,Online
2023-05-03,Keyboard,Electronics,534,5,2670,Italy,North,Card
2023-01-29,Notebook,Stationery,1650,10,16500,Morocco,South,Card
2023-02-28,Keyboard,Electronics,502,9,4518,France,East,Online
2023-02-26,Phone,Electronics,1759,3,5277,Spain,North,Cash
2023-11-04,Notebook,Stationery,75,7,525,Italy,South,Card
